County,Tier Level
Alameda,Tier 3
Alpine,Tier 1
Amador,Tier 2
Butte,Tier 2
Calaveras,Tier 1
Colusa,Tier 1
Contra Costa,Tier 2
Del Norte,Tier 3
El Dorado,Tier 1
Fresno,Tier 1
Glenn,Tier 1
Humboldt,Tier 2
Imperial,Tier 1
Inyo,Tier 3
Kern,Tier 1
Kings,Tier 1
Lake,Tier 1
Lassen,Tier 2
Los Angeles,Tier 2
Madera,Tier 1
Marin,Tier 3
Mariposa,Tier 2
Mendocino,Tier 2
Merced,Tier 1
Modoc,Tier 1
Mono,Tier 3
Monterey,Tier 2
Napa,Tier 3
Nevada,Tier 2
Orange,Tier 2
Placer,Tier 3
Plumas,Tier 3
Riverside,Tier 1
Sacramento,Tier 2
San Benito,Tier 1
San Bernardino,Tier 1
San Diego,Tier 2
San Francisco,Tier 3
San Joaquin,Tier 1
San Luis Obispo,Tier 2
San Mateo,Tier 2
Santa Barbara,Tier 2
Santa Clara,Tier 3
Santa Cruz,Tier 2
Shasta,Tier 2
Sierra,Tier 1
Siskiyou,Tier 2
Solano,Tier 1
Sonoma,Tier 2
Stanislaus,Tier 2
Sutter,Tier 2
Tehama,Tier 1
Trinity,Tier 1
Tulare,Tier 1
Tuolumne,Tier 3
Ventura,Tier 2
Yolo,Tier 2
Yuba,Tier 1
